------ITER 30------	MCTS sim:130	Iter samples :17
------ITER 31------	MCTS sim:131	Iter samples :17

------ITER 32------	MCTS sim:132	Iter samples :18
------ITER 32------	MCTS sim:132	Iter samples :18
------ITER 32------	MCTS sim:132	Iter samples :18
------ITER 32------	MCTS sim:132	Iter samples :18
------ITER 32------	MCTS sim:132	Iter samples :18
------ITER 32------	MCTS sim:132	Iter samples :18
------ITER 32------	MCTS sim:132	Iter samples :18
------ITER 32------	MCTS sim:132	Iter samples :18
------ITER 32------	MCTS sim:132	Iter samples :18
------ITER 32------	MCTS sim:132	Iter samples :18
------ITER 32------	MCTS sim:132	Iter samples :18
------ITER 32------	MCTS sim:132	Iter samples :18
------ITER 32------	MCTS sim:132	Iter samples :18
------ITER 32------	MCTS sim:132	Iter samples :18
------ITER 32------	MCTS sim:132	Iter samples :18
------ITER 32------	MCTS sim:32	Iter samples :18
------ITER 32------	MCTS sim:12	Iter samples :18
------ITER 32------	MCTS sim:4	Iter samples :18
------ITER 32------	MCTS sim:4	Iter samples :18
------ITER 32------	MCTS sim:4	Iter samples :18
------ITER 31------	MCTS sim:131	Iter samples :17
------ITER 31------	MCTS sim:131	Iter samples :17
------ITER 31------	MCTS sim:131	Iter samples :17
------ITER 31------	MCTS sim:131	Iter samples :17
------ITER 31------	MCTS sim:131	Iter samples :17
------ITER 31------	MCTS sim:131	Iter samples :17
------ITER 31------	MCTS sim:131	Iter samples :17
