iter 1	NN win: 4	Minimax win: 89	Draws: 7
iter 2	NN win: 2	Minimax win: 93	Draws: 5
iter 3	NN win: 2	Minimax win: 98	Draws: 0
iter 4	NN win: 26	Minimax win: 59	Draws: 15
iter 5	NN win: 50	Minimax win: 27	Draws: 23
iter 6	NN win: 50	Minimax win: 22	Draws: 28
iter 7	NN win: 47	Minimax win: 26	Draws: 27
iter 8	NN win: 65	Minimax win: 17	Draws: 18
iter 9	NN win: 49	Minimax win: 26	Draws: 25
iter 10	NN win: 61	Minimax win: 13	Draws: 26
iter 11	NN win: 47	Minimax win: 35	Draws: 18
iter 12	NN win: 60	Minimax win: 17	Draws: 23
iter 13	NN win: 67	Minimax win: 14	Draws: 19
iter 14	NN win: 58	Minimax win: 25	Draws: 17
iter 15	NN win: 59	Minimax win: 20	Draws: 21
iter 16	NN win: 60	Minimax win: 19	Draws: 21
iter 17	NN win: 61	Minimax win: 23	Draws: 16
iter 18	NN win: 52	Minimax win: 25	Draws: 23
iter 19	NN win: 62	Minimax win: 18	Draws: 20
iter 20	NN win: 58	Minimax win: 15	Draws: 27
iter 21	NN win: 53	Minimax win: 20	Draws: 27
iter 22	NN win: 51	Minimax win: 28	Draws: 21
iter 23	NN win: 66	Minimax win: 18	Draws: 16
iter 24	NN win: 63	Minimax win: 20	Draws: 17
iter 25	NN win: 59	Minimax win: 22	Draws: 19
iter 26	NN win: 45	Minimax win: 23	Draws: 32
iter 27	NN win: 44	Minimax win: 27	Draws: 29
iter 28	NN win: 66	Minimax win: 18	Draws: 16
iter 29	NN win: 72	Minimax win: 15	Draws: 13
============= Start Self-playing ================
